0;УСТАВ
0;общества с ограниченной ответственностью – аптеки
0;1. ОБЩИЕ ПОЛОЖЕНИЯ
0;1.1. Общество с ограниченной ответственностью «Аптека «________________________» действует на основании Гражданского кодекса Российской Федерации, Федерального закона «Об обществах с ограниченной ответственностью», Федерального закона «О лекарственных средствах» и иного законодательства Российской Федерации.
0;1.2. Организационно-правовая форма и наименование юридического лица.
0;1.2.1. Организационно-правовая форма юридического лица: Общество с ограниченной ответственностью.
0;1.2.2. Полное фирменное наименование: Общество с ограниченной ответственностью «Аптека «________________________».
0;1.2.3. Сокращенное фирменное наименование: ООО «Аптека «________________________».
0;1.3. Общество с ограниченной ответственностью «Аптека «________________________» далее по тексту настоящего устава именуется «общество».
0;1.4. Место нахождения общества: ________________________________________________. По данному адресу располагается единоличный исполнительный орган Общества – Генеральный директор.
0;1.5. Участники общества не отвечают по его обязательствам и несут риск убытков, связанных с деятельностью общества, в пределах стоимости принадлежащих им долей.
0;1.6. Участники общества, не полностью оплатившие доли, несут солидарную ответственность по обязательствам общества в пределах стоимости неоплаченной части доли каждого из участников общества.
0;1.7. Общество имеет в собственности обособленное имущество, учитываемое на его самостоятельном балансе, может от своего имени приобретать и осуществлять имущественные и личные неимущественные права, нести обязанности, быть истцом и ответчиком в суде.
0;1.8. Общество считается созданным как юридическое лицо с момента его государственной регистрации. Общество создается без ограничения срока.
0;1.9. Общество вправе в установленном порядке открывать банковские счета на территории Российской Федерации и за ее пределами.
0;1.10. Общество имеет круглую печать, содержащую его полное фирменное наименование на русском языке и указание на место нахождения общества.
0;1.11. Общество вправе иметь штампы и бланки со своим фирменным наименованием, собственную эмблему, а также зарегистрированный в установленном порядке товарный знак и другие средства индивидуализации.
0;1.12. Участниками общества могут быть как российские, так и иностранные юридические и физические лица.
0;1.13. Общество ведет список участников общества с указанием сведений о каждом участнике общества, размере его доли в уставном капитале общества и ее оплате, а также о размере долей, принадлежащих обществу, датах их перехода к обществу или приобретения обществом.Общество обязано обеспечивать ведение и хранение списка участников общества в соответствии с требованиями Федерального закона Российской Федерации «Об обществах с ограниченной ответственностью» с момента государственной регистрации общества.
