общий положение;0
общество ограниченный ответственность инновационный система управление именовать дальнейший общество создавать действовать соответствие гражданский кодекс российский федерация федеральный закон 08.02 N 14 общество ограниченный ответственность настоящий устав именовать дальнейший устав;0
наименование общество;0
полный фирменный наименование;0
общество ограниченный ответственность инновационный система управление;0
сокращать фирменный наименование;0
ооо инновационный система управление;0
место нахождение общество определяться место государственный регистрация территория российский федерация место нахождение постоянно действующий исполнительный орган;0
рф город москва город зеленоград;0
правовой статус общество;0
общество являться коммерческий корпоративный непубличный юридический лицо;0
общество считаться создавать данные юридический лицо считаться включать единый государственный реестр юридический лицо день внесение соответствующий запись реестр общество создаваться ограничение срок;0
общество вправе устанавливать порядок открывать банковский счет территория российский федерация предел;0
общество иметь круглый печать содержать полный фирменный наименование русский язык указание место нахождение общество общество вправе иметь штамп бланк свой фирменный наименование собственный эмблема также зарегистрировать устанавливать порядок товарный знак средство индивидуализация;0
общество иметь обособленный имущество отвечать свой обязательство собственный имущество свой имя приобретать осуществлять имущественный личный неимущественный право нести обязанность истец ответчик суд;0
общество иметь гражданский право нести гражданский обязанность необходимый осуществление любой вид деятельность запрещать федеральный закон это противоречить предмет цель деятельность определенный устав общество;0
отдельный вид деятельность перечень который определяться федеральный закон общество заниматься основание специальный разрешение лицензия допуск выполнение работа др;0
общество вести бухгалтерский статистический учет отчетность порядок предусматривать действующий законодательство нести ответственность достоверность;0
участник общество отвечать обязательство общество нести риск убыток связанный деятельность общество предел стоимость принадлежать доля общество отвечать обязательство участник общество исключение случай предусматривать действующий законодательство;0
участник общество полностью оплачивать доля нести солидарный ответственность обязательство общество предел стоимость неоплаченный часть доля каждый участник;0
филиал представительство общество;0
общество создавать филиал открывать представительство решение общий собрание участник общество принимать большинство менее 2 треть голос общий число голос участник общество;0
филиал представительство общество являться юридический лицо действовать основание утверждать общество положение общество наделять филиал представительство имущество;0
руководитель филиал представительство общество назначаться общество действовать основание доверенность;0
филиал представительство осуществлять свой деятельность имя общество ответственность деятельность филиал представительство общество нести общество;0
сведение представительство филиал должный указывать единый государственный реестр юридический лицо;0
дочерний общество;0
общество иметь дочерний зависимый хозяйственный общество право юридический лицо создавать территория российский федерация соответствие федеральный закон предел территория российский федерация также соответствие законодательство иностранный государство территория который создавать дочерний хозяйственный общество иной предусматривать международный договор российский федерация;0
дочерний общество отвечать долг общество основной хозяйственный товарищество общество отвечать солидарный дочерний общество сделка заключенный последний исполнение указание согласие основный хозяйственный товарищество общество случай несостоятельность банкротство дочерний общество вино общество последний нести субсидиарный ответственность долг;0
участник акционер дочерний общество вправе требовать возмещение общество убыток причинять действие бездействие дочерний хозяйственный общество;0
цель вид деятельность общество;0
общество создаваться осуществление коммерческий деятельность цель извлечение прибыль качество основной цель свой деятельность;0
реализация поставлять цель общество осуществлять любой вид деятельность запрещать действующий законодательство российский федерация;0
уставный капитал общество;0
уставный капитал общество составляться номинальный стоимость доля участник;0
размер уставный капитал общество составлять 20 000 двадцать тысяча рубль 00 копейка определять минимальный размер имущество гарантировать интерес кредитор;0
соотношение доля участник изменять;0
количество голос который обладать участник прямо пропорционально принадлежать доля;0
доля принадлежащий общество учитываться определение результат голосование общий собрание участник общество также распределение прибыль имущество общество случай ликвидация;0
каждый учредитель общество должный оплачивать полностью свой доля уставный капитал общество течение срок который определять договор учреждение общество любой случай течение 4 четыре месяц момент государственный регистрация общество;0
это доля каждый учредитель общество оплачивать цена ниже номинальный стоимость допускаться освобождение учредитель общество обязанность оплачивать доля уставный капитал общество;0
оплата уставный капитал хозяйственный общество должный вносить денежный средство сумма ниже минимальный размер уставный капитал;0
денежный оценка неденежный вклад уставный капитал хозяйственный общество должный проводить независимый оценщик участник хозяйственный общество вправе определять денежный оценка неденежный вклад размер превышать сумма оценка определенный независимый оценщик;0
вклад участник имущество общество мочь денежный средство вещь доля акция уставный складочный капитал хозяйственный товарищество общество государственный муниципальный облигация вклад также мочь подлежать денежный оценка исключительный иной интеллектуальный право право лицензионный договор иной вклад установленный закон;0
увеличение уставный капитал общество;0
увеличение уставный капитал общество допускаться полный оплата;0
увеличение уставный капитал общество осуществляться счет имущество общество счет дополнительный вклад участник общество также счет вклад третий лицо принимать общество;0
увеличение уставный капитал общество счет имущество общество;0
увеличение уставный капитал общество счет имущество осуществляться решение общий собрание участник общество принимать единогласно это решение увеличение уставный капитал общество счет имущество общество принимать основание данный бухгалтерский отчетность общество год предшествующий год течение который принимать решение;0
увеличение уставный капитал общество счет дополнительный вклад участник общество;0
решение увеличение уставный капитал общество счет внесение дополнительный вклад участник общество приниматься общий собрание участник общество единогласно;0
увеличение уставный капитал общество счет дополнительный вклад участник вклад третий лицо принимать общество;0
уставный капитал общество увеличивать счет дополнительный вклад основание заявление участник заявление участник общество вклад третий лицо принимать общество решение приниматься участник общество единогласно;0
заявление участник общество заявление третий лицо должный указывать размер состав вклад порядок срок внесение также размер доля который участник общество третий лицо хотеть иметь уставный капитал общество;0
внесение дополнительный вклад участник общество вклад третий лицо должно осуществлять поздно течение 6 шесть месяц день принятие общий собрание участник общество соответствовать решение;0
